Hour,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,103.32504670308958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6998946875294,0.0,0.0,0.0,16.302290705536425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,54.15581805518574,0.0,9.231365849121763,0.0,345.19915422412674,0.0,230.68934565552732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.339675228178,2.4057908246088067,87.2060130900689,0.0,2135.837216553014,0.0,0.0,0.0,1.214686606598114,9.97435534882714,22.653793627944637,0.0,0.0,10.551946384103,0.0,299.58349340292705,60.600206502015865,0.0,0.0,0.0,0.0
9,122.34324633204558,698.5562534713781,35.90461927574684,0.0,749.5335717925831,531.4168703114124,333.64191046683925,592.1263613331759,2458.6532725129264,0.0,0.7385453764584761,1062.4933874412804,0.0,1497.4656302584863,940.3992805130646,37.263964214508,630.3134320185414,0.0,8451.580906257816,59.29726527001185,0.0,2.6396731915313985,3.7939688959481725,33.674192426290944,59.992938639499215,0.0,0.0,662.7109403883611,0.0,838.3944622248631,140.9389814763504,0.0,228.80631232000354,21.1222471146702,0.0
10,178.06990405990945,1852.1141643070569,73.85362011816079,1733.1009769463847,1069.8864988776547,1858.598923249644,381.09992166882864,1598.3627281238969,11926.291735557543,240.3820897800677,16.995934078782895,4686.54979429965,0.8902494299803407,5597.4849834731485,1510.5665676768374,72.13469747268105,1237.3300591204506,0.0,13823.088542524922,224.26792620809138,15.778806034562114,7.919842850505662,4.929601971879982,61.686799667731606,88.19610023367646,9178.548109170411,0.0,1752.8884984867118,334.71405392422037,1308.5188856508707,230.62821102998956,76.07499711599121,484.08475293375227,47.623537776930604,106.90904479984492
11,207.80589119633063,2913.6319125413775,99.31822575693903,2203.509560054104,1210.29695004171,3531.0133175252986,396.72630995072495,2915.7936213844955,23249.10164928095,350.1740034682176,25.212552436756294,8660.258358613783,65.7397407992984,8564.031273422152,1858.8677366438037,105.2016166452376,1683.4295348672447,12.6153900909508,16908.36752436025,303.320603152743,47.30065572168553,9.036950551735487,6.324566756906276,83.03586583471055,111.57749246134254,15422.383373595414,2.7722411647845,2567.058566784428,912.6120541837805,1503.8117951609486,284.2883430020119,213.074597801874,687.4282165714296,61.4020903873905,778.5870338566527
12,208.4818966035251,3620.662522258477,103.90369282361085,1780.8999439715851,1237.4285225900996,4241.496600469747,387.41816510382984,3521.9368051631855,32910.80496375056,371.65475248639956,21.65999283449446,11702.37102946485,55.24842320861711,9741.156630077186,1830.0458680644522,121.74158726059964,2117.813548149867,96.89174500227125,17837.865684960863,256.1101661047695,68.17173084490086,7.500645671658463,8.191736409834007,94.0430734291404,117.19459470797356,17703.8372523375,20.512654016456302,2759.381786480222,1502.2585997597155,1563.9013702610043,292.983030374345,263.4449151635621,790.3762390537917,62.4718890192345,810.210249789213
13,177.59119030847694,3808.7904243566036,83.42960810997857,1334.296871567443,1026.7106582826189,3890.616521095532,302.25474734375246,3018.87740130012,35129.12175027341,388.5149157817456,9.534332975302096,13004.980186260947,1.455030604631016,9522.238618001958,1522.4815091070266,112.33312319342835,1984.4514842609872,202.27533114733953,15507.690363927522,162.27318343459567,58.67193457598444,3.937776791480785,7.894370506423353,78.93249870902294,108.91119658390511,15351.380938492088,22.034944254762703,2354.8643924415437,1918.4441747378166,1397.814535263954,258.2400714293477,224.56117521628337,837.6377694416166,54.352651667850004,643.4066346367886
14,129.63697618759127,3214.920148882813,53.77349172937546,925.2622998871617,628.4935958081645,3316.426157518491,179.2009131857584,2283.5288001081135,28161.32728151489,316.1668460201761,0.0,12479.561976542765,0.0,7646.357563272401,1049.28661102677,79.20285858658521,1368.0298566159681,271.8890651919331,11752.916509679828,47.2386260192343,39.82247022813052,0.32712045661341776,5.819327728260445,55.07826405000463,98.54872783463782,9322.214213729587,14.3800296319749,1727.2273008444981,2159.0957092126187,937.0001293675907,183.15854003133668,70.22699248435785,713.6062889497163,36.403892473539,482.7694871959577
15,72.59462214872921,1961.8756701142552,26.487129931698533,488.1524124154021,270.55828701799936,2557.994061798776,68.49171359338354,1342.1820370570722,15251.205120908058,62.179391512705095,0.0,9520.958424776378,0.0,4821.107412873708,457.39413269959033,37.45169029694668,704.1055183330479,242.46820051844924,5956.136042961075,0.0,22.22199452279324,0.0,2.8951660064494784,30.63627140498045,72.61528524588488,3715.4444097375,0.42540685304580006,848.8160413159811,1961.8697085449228,387.1242139939461,95.66906079186428,0.0,350.6523506172024,8.07939087370545,307.69361291520806
16,7.21222587149484,102.07372008518978,0.0,117.63019353146395,0.0,1269.2849652524114,0.0,0.0,2127.4336851322946,0.0,0.0,5595.130443939749,0.0,1965.6689548050922,3.564707425631065,7.143527771853651,0.0,97.67981179022246,223.50996873862653,0.0,5.59131011049378,0.0,0.0023178057861931896,0.0,34.371199795798816,379.7479348579125,0.0,0.0,1511.0645176070477,0.0,0.0,0.0,60.62634269919507,0.0,42.79974967797798
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2274.099415749662,0.0,84.65106181959455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.7035149730815,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.71713560139857,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,88.48156860262947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.42073228132345,0.0,0.0,0.0,30.057924757391113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,69.97704486812046,0.0,11.577875620502034,0.0,336.87874892921053,0.0,188.66019102025447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.4030816480945,4.354887499629267,370.0830135684953,0.0,2969.8470161360274,0.0,0.0,0.0,1.2355457855810392,50.3895264668649,14.169652330735433,0.0,0.0,5.872020644381934,0.0,650.4786663271033,71.49916460110664,0.0,0.0,0.0,0.0
33,162.7317890698578,592.1466153429805,42.70111295456897,0.0,756.3773677289514,45.750737586562146,260.36506925155425,585.894720298687,1384.6311879037105,0.0,0.0,283.2114886524796,0.0,196.75743047067368,2614.087946097373,43.145545150926765,1483.7525426428028,0.0,7944.9521426086885,18.107952019399946,0.0,0.11360697089415679,3.3567230722265005,133.86773442107048,47.510580671156646,0.0,0.0,1704.1324531629673,0.0,1487.3273450080994,177.7129180691151,0.0,147.4511781838395,34.0306923782046,0.0
34,244.35119762413274,1469.8111821196262,86.7186332984235,435.9006232108105,1095.9084391371243,314.597974272683,301.00300100292304,1395.4729931371664,6398.137672682462,25.70438840651036,14.647307889659972,1891.8007522238154,0.0,2832.857773425217,3915.2086211164096,110.26578521781789,2654.315281876747,0.0,12717.962022325164,112.1352823147106,3.607427031969278,2.0479035827961045,5.963846571701777,214.7569092044894,88.01765594317649,863.0043060375,0.0,3197.694382964329,132.56317103693289,2280.8741938223325,285.56913162125676,40.49050329680176,356.935075911953,91.51698399541874,3278.780881186502
35,285.66367620108554,2411.2122594841994,116.43870785753629,1295.1411341506928,1247.2711310431891,729.4716183020797,327.58639536574776,2119.6081036439564,11417.735760664837,80.85996990320403,28.28780895457369,3553.6231952388684,17.316315597730483,6042.9968824865455,4565.795776402835,158.58091668514467,3382.8256262538057,1164.5327701032243,16632.86776909694,219.49319400107947,14.052308069958807,3.449965284469467,7.335696574732526,273.3284728873951,105.19279922754626,1858.167083025,5.4804466462302,4308.074346588602,264.94054142795574,2791.5868864878157,353.53752182377383,119.70418787077672,500.6212779081737,130.9263968215155,8087.914484215445
36,277.71180886616276,2939.251098228286,137.53141194769833,2146.450873048285,1334.7403366774167,1237.668158288429,311.1131751216086,2587.32322669759,13828.219219431267,107.97300744335803,27.104656416100013,4652.687692350258,22.985250286065245,8869.531323521209,4341.817257285142,169.98945716168006,3979.9092798202887,2037.3778907294716,16616.294116944402,248.16499247486612,23.422519082650958,3.788105254704682,5.4983591023038265,300.49038671601824,119.4609869377734,3094.6318312795875,28.747471014807303,4639.059016253651,347.9407650562774,2883.170153691997,374.1823743440561,155.41558341828923,459.13947396610513,152.4989124294261,11617.572667620883
37,227.73771107571133,2715.4104041650994,146.7101156564547,3039.0698641998183,1143.9921047422586,1536.758421715741,216.78887088081257,2386.349774158173,14436.093621577435,61.33113889565737,13.943719154405509,5405.411359817857,0.0,9949.183743836193,3505.61450999429,177.44309677820635,3979.0706923267853,2745.3473810279165,14504.496499157747,185.5135038924025,28.618314602911354,2.8051529504721753,3.1374568520435417,279.260238471826,123.43344580775505,5745.9276912670875,26.629216394123297,3782.537916003022,812.527787298563,2455.1104779782063,342.43790271993015,113.17878941293175,387.22689498525835,138.0313731765822,12827.130387985791
