Hour,BE,DE,DK,ES,FI,FR,GR,HR,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,UK
1,4855.487247255614,27066.809754068185,6949.876283701264,1633.7730791334802,949.8212399498074,3603.742197898689,110.85811418807648,9.076870715298362,4764.052609771266,2093.28160142267,873.6207662370149,394.32791817892985,12459.36722534059,2774.1811456097507,3742.846181525197,1205.2092256591325,6.389143103782599,317.64146644687065,46309.384762781316
2,4903.627247143677,27066.863327718416,7011.783562241894,1627.714618845128,945.8682166211933,3602.8487077973614,131.26878322007894,16.23500974102849,4713.998883638623,1963.2034216754491,847.6490477352893,389.6177136967908,13725.167752918262,2770.6525068953174,3680.283938391406,1362.6403582388432,4.865863586495,325.1172205099577,46391.38221962427
3,5013.439767590707,26657.140240372846,7047.408194378937,1619.7269320140126,920.9152565180676,3601.7754941586745,152.12885323149467,22.399794761311757,4682.536450948639,1917.191383230625,826.854534132698,395.99938248096385,14722.43669162389,2756.5234534076963,3787.687498647619,1409.8798562179575,14.372100466101301,319.4811107059839,46625.63298589111
4,5043.802324632901,24362.209996210524,7039.060548332942,1625.4731794684612,872.8695735785952,3601.1734226185013,150.98306624880453,26.55578061766207,4688.154898290808,1822.8174214153282,811.0204057258004,385.8857672910956,15159.6200738419,2646.143178397435,3945.2958056274974,1492.784147379252,38.5751353161108,312.20290298160364,46162.930532939354
5,5190.633842172005,21093.796405775396,6918.914558117486,1628.6886916062765,798.6476862343192,3600.7277509581077,114.35893911610488,29.363915810614486,4561.918310225187,1597.7538571977884,859.3073543053506,371.914054878389,15485.929082477986,2424.03965257298,3761.8046004485227,1535.1770656791557,88.161414944583,308.35490961410306,44679.42755552206
6,5284.115536096306,20735.579228746425,6693.994089235071,1640.9040932589799,708.0926880663317,3600.7698311143286,78.41459440732977,29.337866909234585,4326.523286073598,1370.3864975499127,876.1266522682539,362.628739025161,15567.48158127027,2092.381038902933,3649.3448976978134,1662.3390170327411,140.4682830875974,303.4136130841843,43484.73020163327
7,5318.292821940128,22573.40875900122,6047.152331585437,1609.8930265634244,607.6571257542187,3597.7544683290535,64.38493751409494,23.62624151708893,4305.109464916492,1189.5022898018456,805.9524366800542,343.62474864115114,15653.347587360213,1490.794311268491,3750.828946983746,1718.4211089864054,193.12187262788268,302.26816631256264,44761.99754786879
8,5347.18633793191,25463.588325717697,5356.657506146912,1574.5734186033706,519.154497905451,3480.3021055751487,65.39660980874748,14.95557366989848,4282.70252557428,1101.9994465156349,779.5890199190393,329.9034207284406,15652.15133110013,1234.229066588226,4172.514676939043,1781.7430129119064,232.2896773922781,313.9425749762038,44853.464170870284
9,5330.1584152157,26692.67384055989,4881.005576339801,1559.611190700648,484.38187598930773,3467.2406657508786,74.56747953790908,12.269413928173527,3915.0666192862072,1056.3552435220015,811.4623761943525,342.1352273231454,15653.225097355944,1258.782996534745,5185.492292717495,1839.4058564393665,230.0186379915756,339.7106844059741,44806.42546490708
10,5307.369215190545,26586.532612446674,4645.808827228586,1481.7222275649165,468.17559433162495,3503.9015003980276,89.13892255825616,13.643868335320116,3169.8503605617884,1042.5395972501115,808.3790756300044,350.9310342389993,15664.774923042629,1532.7478334967325,5897.881831227312,1841.4824626114207,182.9808583356381,371.4297878448597,46561.65806232584
11,5321.054142598666,26093.528829733215,3996.0261100588996,1437.1250054152097,466.8994781303573,3582.8136754807833,119.16197774912322,8.509610223350741,2343.0600497034698,653.1020919478949,857.0918285657979,360.10000286275954,15647.323642944722,2035.5277808700082,6465.293583156926,1869.5921085658565,96.1779607614193,402.64889099703197,47753.99664030739
12,5310.8913336624,25965.16402382986,3827.7092842359066,1477.5692860486017,505.8712102576307,3527.360948017389,144.77311817744013,7.4056852595345335,1488.0035105012842,540.6480218719437,845.0282189912883,369.1226809368654,15657.140363999328,2057.593748048698,6288.599284692879,1894.9170830347075,55.850955446248804,375.9644615731117,47719.54015382202
13,5084.963329844469,25430.423451052586,3746.3161087652516,1526.178492417251,529.7732508316062,3549.061258664813,174.00156305644802,10.36956220755423,838.2882594147213,433.81092541512436,788.2357132518493,368.26332778174213,15668.321277328792,2171.0142924049046,5804.952216560702,1899.583429125058,37.2454649582761,329.11286698020103,47420.17638708311
14,4847.44427225413,25063.440545875335,3691.1638644224286,1552.4310442490678,508.29391909300915,3528.5983791899935,230.6859745486183,18.15871605545583,451.3279217268605,351.8567812352255,778.8182311456915,364.47221179433063,15679.816779187142,2366.1919601027816,5765.459399321984,1898.8283766464504,32.5903775207162,301.9110365245253,47223.01290098888
15,4711.486652430887,25095.794026607447,3616.1744863775148,1634.0164918368675,512.4580331502077,3540.48473674237,286.284099410491,23.27932654813848,291.3942187791365,317.4832844388279,823.0326392508221,371.4012449078239,15693.097725356538,2523.9198853250136,6007.614814834387,1899.994453834644,35.5605638306725,296.5466043041934,47578.19940107627
16,4578.438657133455,25264.759046834424,3459.8076348297136,1778.0682988553797,541.2511461628145,3551.2129674448315,383.5693404098532,19.004425871298917,401.69079211899003,264.16438789771814,895.4912782471528,379.2551424228684,15708.550094610002,2646.937913945878,5700.168480505172,1899.9907047012632,54.1614749821916,260.59912298919437,48133.8049808039
17,4506.486874653431,25459.05023889142,3419.7527757328494,2020.056313443228,596.3507959245055,3547.8533671631635,436.27347938649825,12.548926969041789,751.0192584799036,234.8299972432393,947.0235889839693,397.53657085896117,15666.151259365754,2674.1415122042,5094.798171022495,1899.9086222629992,66.6359288257444,223.28385361436543,48420.905579449005
18,4496.251692988242,25606.040533126627,3753.288479460094,2230.113636719427,638.7486248776639,3570.1800404967025,511.91421012911627,7.724358310121055,1103.5551284232497,233.75295190146147,970.0492760008079,406.5347376949293,15158.659357110972,2741.9634316396205,4867.292345164495,1900.0,74.6810849796513,217.35828896200817,47514.01560994761
19,4534.003270639469,25766.989818193593,4198.782738336584,2341.7371242294216,671.6776545426505,3627.8082959163085,591.2727706918569,10.617310858160739,1687.9821300435256,253.10899302321312,959.5463672741976,400.64150073477464,14584.067847829094,2768.948463187359,5306.442457109944,1899.9994812568232,82.6856309176449,230.5957502438153,46813.10508111755
20,4571.669512168273,25907.124804827614,4666.07503541619,2445.485781673454,668.9637356527797,3640.2255573996213,669.8757993652928,13.448957198610357,2541.6542705086445,271.1890415650643,933.6194761806449,392.43329123516247,15606.174847814551,2774.787830199365,5825.711624939888,1899.9706147048287,81.00915216212489,243.96239905039818,46397.69780636508
21,4567.299956314945,26028.405122393982,5091.82322968542,2522.8482170782095,672.0149075445659,3641.7188799813207,773.8876849529856,14.361776156407965,3260.3046072278084,296.4410985450098,889.032149223122,378.38333383952846,15680.852603573485,2774.575653965219,5737.785982616442,1891.8434286585039,64.48830002701659,234.71930615855922,46439.32624529698
22,4651.097049787669,26259.960313550062,5489.417213378936,2556.001681332093,708.2945402879219,3652.3895366249603,886.5378508816614,13.07433014115597,3754.783256745453,365.5013157855652,838.5506938314737,361.20176856733707,15645.595270046952,2774.0140638038642,4863.174686793665,1828.9394391971057,45.3260087183376,196.08602527830078,47028.28649589021
23,4809.6598632835985,26730.688183527967,6080.897391693319,2595.724848182227,748.8797095222137,3661.022685107814,1020.2442463661357,6.899328759769308,4032.6333661359486,524.248684118313,918.9298956416299,369.8787880000916,15707.823827498923,2769.6669947292316,4336.681968421295,1685.3979992378142,47.128281689734,206.65878342683874,47581.70889859874
24,4969.54,27322.491586980235,6518.732013975197,2595.6455713329747,721.5491724528521,3658.4655020832415,888.1760215060293,3.794238748608306,4211.440838868306,594.9796711125933,822.8024165779966,336.8306767369648,15715.276556168044,2767.1636397705856,4237.399758090334,1604.676547845893,35.3416604178452,234.06440882941206,46998.099782537516
25,5151.82,27834.19648417402,6958.161768145386,2587.945996821777,711.403980794718,3677.485362800977,769.7117565725727,2.648760599699448,4134.251462131916,642.9699382893419,693.6697997961784,297.8562746569175,15715.369537233684,2755.2728000218513,4302.482496350019,1279.4409570113155,30.0246145931313,255.88536219401155,46727.63445318799
26,5235.12,28240.759206201783,7389.852882453792,2571.6405640689545,691.8683061999888,3671.7221510148547,601.6829457732533,4.588836998011236,4156.797936676168,720.3354890796455,670.6572804097274,272.2621077997311,15715.333633035672,2756.807256812465,4096.777731906086,1232.4225478155117,34.4044160583229,281.24034877054163,47173.29243683428
27,5307.618744505727,28548.51828712454,7580.1517466324985,2522.913251525594,682.6219171278346,3660.9665437922813,475.79922808597877,4.867154316338988,4217.970370056715,799.3204988295911,725.0361526419135,266.78898422183045,15715.372412391396,2749.927204122952,3728.0208735353553,1068.2868210315585,22.0160829893987,299.721079693773,47135.19325655384
28,5383.889241691652,28752.469881853878,7682.279569540383,2432.34969415042,665.9981698849933,3645.6494824819447,427.7758923645671,2.3921763986267672,4372.53370501988,824.977554125338,717.5251552909306,258.66789482658675,15715.367317123557,2740.810290635904,3377.3469893944575,1046.0230782724436,21.8171802639444,301.5011606881156,46364.111766852635
29,5416.422685532152,28856.167925234986,7716.658409568434,2343.6931612035505,655.9721513066623,3633.8206949642945,478.5504074548828,0.775717926325446,4502.437828765555,796.2342935396965,686.7963373279631,256.83665660405285,15714.57082234773,2739.7389569306984,3468.217859662776,1009.1026950734072,32.0399439142349,312.3058614520068,44964.9503477258
30,5429.937812994842,28892.30503773822,7718.081140621771,2296.0065820289337,656.1763219010124,3625.2571780807575,564.826546712764,0.445243951079019,4551.8295341604,713.7379038843933,734.7624530006295,264.8216370352473,15702.858186140602,2714.58771617274,3734.6867045811305,995.455376351053,61.2972902684077,337.7282486649236,44551.73418599758
31,5433.841577606795,28893.055159382682,7694.397909981681,2219.470346647371,655.434301053194,3612.0600346184165,674.8077553473544,1.682577447073857,4472.397543171546,715.7648818452878,775.9044199416114,280.73275797918274,15684.731447821227,2744.3539943298765,4276.630161045271,1087.8703134086693,113.0949358388085,392.85799535931363,43828.79206856379
32,5441.451312309824,28902.420209536653,7689.970267519872,2162.0001604393037,668.8630769875568,3543.853801865149,718.070613679194,5.7767984348447765,4413.005148594566,741.7834651621712,810.6312674560628,314.16334448399544,15678.923158492804,2776.1188318587933,5680.152706320888,1186.2078509021937,150.32056102683399,454.0659609945625,42635.17167244347
33,5430.182582758431,28894.573632478237,7693.534123055722,2019.4214372583929,701.2086707169983,3498.6153424203153,732.099144110321,12.198152261023143,4332.440056577398,822.0848938014087,821.9416503594915,331.7235066213676,15670.777194311306,2781.9003386789404,6873.33247133465,1320.6545211437422,160.0865986078888,487.23201350472385,42891.335208265285
34,5467.051644679192,28820.631174653274,7690.942792247681,1903.814151393979,726.8538200367085,3509.7194212900395,741.3713707880357,14.221589199651444,4012.691876411801,911.8121821021243,905.2493637067427,345.7526979395038,15249.771586309676,2781.9859781478626,7591.613758111689,1563.3011418700771,145.2710829981152,511.6022037699643,44520.131247263555
35,5387.421985351866,28821.96716273241,7730.968217181896,1814.6235077031354,760.928697654406,3315.9366802140507,766.620231154613,37.809425751701546,3637.630105711275,1043.9044459001661,1071.760980667479,398.3826657541005,14674.503397825081,2781.9294336282996,7609.547286026345,1682.80862227717,138.4407364152454,526.2349600290204,44547.921836634785
36,4837.46125727073,28524.3446622775,7576.057809968086,1946.7391235942086,751.4421628337409,3260.7306914467313,759.0256618266314,35.640600073297605,4048.5821643751015,1062.654329919163,1020.0678973944638,409.4404503272162,14011.298710202736,2781.2661648610087,7450.193274864443,1856.0433288543895,101.0183828243635,526.3680475041032,43135.27994892097
37,4712.5259247777685,28150.755602345085,7293.116083463174,1982.5552660924182,722.9235668266181,3483.0056841685964,723.9952875924375,18.320677181325312,4442.816242010395,988.3039974950857,942.3671269231787,392.3878016653533,13802.459869459197,2774.8509775652524,7507.73123932309,1896.7818021679973,84.7494098040406,511.1735938477575,43360.025883857
38,4594.4863447755915,27934.707137388355,7081.530352826354,1869.7454145846416,686.8694172143379,3541.9985866927705,702.2026953169398,6.591811551879396,4686.381857377901,942.6875477650594,933.1574649571511,369.0006315663427,14201.64274778599,2755.8727915449226,7661.760624555593,1895.9851988257271,69.7852516295082,506.1895259857459,43608.96288729589
